"","name","pred.probs","pwinner","year"
"1","call-me-by-your-name",0.0965988138019888,1,2017
"2","darkest-hour",0.00222601896274955,0,2017
"3","dunkirk",0.171350572860884,0,2017
"4","get-out",0.0111801507016234,0,2017
"5","lady-bird",0.227357622418829,0,2017
"6","phantom-thread",0.00274167902105359,0,2017
"7","the-post",0.00129614105278616,0,2017
"8","the-shape-of-water",0.00348320599256041,0,2017
"9","three-billboards-outside-ebbing-missouri",0.0741779818754876,0,2017
"10","moonlight",0.295596390849588,1,2016
"11","arrival",0.00178467124920298,0,2016
"12","fences",0.000849197386654774,0,2016
"13","hacksaw-ridge",0.00302844770256691,0,2016
"14","hell-or-high-water",0.137373250738462,0,2016
"15","hidden-figures",0.00749413640840714,0,2016
"16","la-la-land",NA,0,2016
"17","lion",0.00764764997563142,0,2016
"18","manchester-by-the-sea",0.075156348128233,0,2016
"19","spotlight",0.807096515592789,1,2015
"20","the-big-short",0.0397230089469467,0,2015
"21","bridge-of-spies",0.0316913195863908,0,2015
"22","brooklyn",0.125630417719084,0,2015
"23","mad-max-fury-road",0.0912567478995408,0,2015
"24","the-martian",0.0866475230319143,0,2015
"25","the-revenant",0.1126375849239,0,2015
"26","room",0.210589056487164,0,2015
"27","birdman",0.0527492675237922,1,2014
"28","american-sniper",0.0771490377871766,0,2014
"29","boyhood",0.450819356096916,0,2014
"30","the-grand-budapest-hotel",0.16305047223172,0,2014
"31","the-imitation-game",0.0247254762770439,0,2014
"32","selma",0.119650855284463,0,2014
"33","the-theory-of-everything",0.0113876069059849,0,2014
"34","whiplash",0.430419297259925,0,2014
"35","12-years-a-slave",0.908302942041537,1,2013
"36","american-hustle",0.0947226491310464,0,2013
"37","captain-phillips",0.119357389413511,0,2013
"38","dallas-buyers-club",0.122518062864834,0,2013
"39","gravity",0.354574945661014,0,2013
"40","her",0.0599289804763929,0,2013
"41","nebraska",0.0312408729123576,0,2013
"42","philomena",0.00913158232715309,0,2013
"43","the-wolf-of-wall-street",0.0244456630066876,0,2013
"44","argo",0.297250572143038,1,2012
"45","amour",0.221844763886872,0,2012
"46","beasts-of-the-southern-wild",0.0804173706433173,0,2012
"47","django-unchained",0.194834963054846,0,2012
"48","les-miserables",0.00057058517080347,0,2012
"49","life-of-pi",0.0184154684250878,0,2012
"50","lincoln",0.0414891061673828,0,2012
"51","silver-linings-playbook",0.0487026426950831,0,2012
"52","zero-dark-thirty",0.521266541123538,0,2012
"53","the-artist",0.178017191592904,1,2011
"54","the-descendants",0.0812487221867951,0,2011
"55","extremely-loud-and-incredibly-close",9.44653555816377e-07,0,2011
"56","the-help",0.00445756255093717,0,2011
"57","hugo",0.00236655303103862,0,2011
"58","midnight-in-paris",0.00554271370021755,0,2011
"59","moneyball",0.114714235418131,0,2011
"60","the-tree-of-life",0.000383735561781777,0,2011
"61","war-horse",0.000817184782224161,0,2011
"62","the-kings-speech",0.609194043840335,1,2010
"63","127-hours",0.0267844865703412,0,2010
"64","black-swan",0.015545886682862,0,2010
"65","the-fighter",0.0941608028585462,0,2010
"66","inception",0.0813873017865127,0,2010
"67","the-kids-are-all-right",0.00263133251680622,0,2010
"68","the-social-network",0.792313366303689,0,2010
"69","toy-story-3",0.212944533337385,0,2010
"70","true-grit",0.00664894973087754,0,2010
"71","winters-bone",NA,0,2010
"72","the-hurt-locker",NA,1,2009
"73","avatar",0.118466806930863,0,2009
"74","the-blind-side",0.000282283362589301,0,2009
"75","district-9",0.00343125098510628,0,2009
"76","an-education",0.00614064444018163,0,2009
"77","inglourious-basterds",0.000958659762938437,0,2009
"78","precious",NA,0,2009
"79","a-serious-man",6.14092496154226e-05,0,2009
"80","up",0.14189119319064,0,2009
"81","up-in-the-air",0.0059477599783393,0,2009
"82","slumdog-millionaire",0.402238142929542,1,2008
"83","the-curious-case-of-benjamin-button",NA,0,2008
"84","frost/nixon",NA,0,2008
"85","milk",0.257332968625255,0,2008
"86","the-reader",NA,0,2008
"87","no-country-for-old-men",0.317384574499138,1,2007
"88","atonement",0.024766115477765,0,2007
"89","juno",0.0618898874583195,0,2007
"90","michael-clayton",0.00014908295762499,0,2007
"91","there-will-be-blood",0.41250550069332,0,2007
"92","the-departed",0.537243732544624,1,2006
"93","babel",NA,0,2006
"94","letters-from-iwo-jima",0.126205349660002,0,2006
"95","little-miss-sunshine",0.0445030953740669,0,2006
"96","the-queen",NA,0,2006
"97","crash",NA,1,2005
"98","brokeback-mountain",0.103026578095365,0,2005
"99","capote",NA,0,2005
"100","good-night-and-good-luck",0.00391528492176802,0,2005
"101","munich",0.006616343599263,0,2005
"102","million-dollar-baby",0.489135236081756,1,2004
"103","the-aviator",0.00114841224694063,0,2004
"104","finding-neverland",0.000902338010911707,0,2004
"105","ray",0.0399178853016218,0,2004
"106","sideways",0.0485127268791861,0,2004
"107","the-lord-of-the-rings-the-return-of-the-king",0.565226791850322,1,2003
"108","lost-in-translation",0.0849172685112148,0,2003
"109","master-and-commander-the-far-side-of-the-world",0.0151019692223178,0,2003
"110","mystic-river",0.141944661313171,0,2003
"111","seabiscuit",0.000455421700693043,0,2003
"112","chicago",0.105148997751806,1,2002
"113","gangs-of-new-york",0.00437430261200742,0,2002
"114","the-hours",NA,0,2002
"115","the-lord-of-the-rings-the-two-towers",0.595516852851984,0,2002
"116","the-pianist",NA,0,2002
